Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0402_1005Metric",66.395600,21.400969,-90.000000,top
"C102","10u","C_0402_1005Metric",67.360800,21.400969,90.000000,top
"C103","100n","C_0603_1608Metric",50.749200,11.074400,180.000000,top
"C104","10u","CP_EIA-3216-18_Kemet-A",47.447201,21.751800,180.000000,top
"C105","100n","C_0402_1005Metric",69.342000,19.390267,0.000000,top
"C106","100n","C_0402_1005Metric",69.342000,5.519933,0.000000,top
"C107","1u","C_0402_1005Metric",64.465200,21.400969,90.000000,top
"C108","~","C_0402_1005Metric",42.989199,11.171400,-90.000000,top
"C109","~","C_0402_1005Metric",42.989199,13.051000,90.000000,top
"C110","100n","C_0603_1608Metric",51.562000,21.991800,0.000000,top
"C111","10u","CP_EIA-3216-18_Kemet-A",50.241199,9.241000,180.000000,top
"D101","TPD1E05U06","Texas_DPY0002A_0.6x1mm_P0.65mm",41.955200,15.438600,180.000000,top
"D102","TPD1E05U06","Texas_DPY0002A_0.6x1mm_P0.65mm",37.477699,14.233402,0.000000,top
"D103","Red","LED_0805_2012Metric",56.134000,22.379700,-90.000000,top
"D104","Green","LED_0805_2012Metric",60.299600,22.402800,-90.000000,top
"D105","SMF5.0A","D_SOD-123F",30.581600,19.299400,90.000000,top
"D106","SMF5.0A","D_SOD-123F",33.985200,14.782800,0.000000,top
"J101","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",32.664400,4.282200,90.000000,top
"J102","Conn_02x09_Odd_Even","PinHeader_2x09_P2.54mm_Horizontal",7.315200,18.160600,90.000000,top
"J103","Conn_01x04","Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal",47.091600,3.251400,0.000000,top
"J105","GT-USB-7010ASV","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",39.573200,20.823400,180.000000,top
"K101","G3VM-61D1","DIP-4_W8.89mm_SMDSocket_LongPads",8.415867,8.424467,90.000000,top
"K102","G3VM-61D1","DIP-4_W8.89mm_SMDSocket_LongPads",14.173200,8.424467,90.000000,top
"K103","G3VM-61D1","DIP-4_W8.89mm_SMDSocket_LongPads",19.930534,8.424467,-90.000000,top
"K104","G3VM-61D1","DIP-4_W8.89mm_SMDSocket_LongPads",25.687867,8.424467,-90.000000,top
"L101","Ferrite Bead","L_0603_1608Metric",40.386000,10.970198,0.000000,top
"L102","Ferrite Bead","L_0603_1608Metric",30.581600,15.337000,-90.000000,top
"R101","390","R_0603_1608Metric",29.921200,10.053800,-90.000000,top
"R102","390","R_0603_1608Metric",31.394400,10.053800,-90.000000,top
"R103","10k","R_0402_1005Metric",65.430400,21.400969,90.000000,top
"R104","390","R_0603_1608Metric",20.658667,15.409467,180.000000,top
"R105","4.7k","R_0402_1005Metric",32.613600,9.495000,-90.000000,top
"R106","390","R_0603_1608Metric",25.704800,15.409465,180.000000,top
"R107","4.7k","R_0402_1005Metric",33.578800,9.495000,-90.000000,top
"R108","10k","R_0402_1005Metric",69.342000,4.531933,0.000000,top
"R109","10k","R_0402_1005Metric",58.216800,21.285200,180.000000,top
"R110","5.1k","R_0402_1005Metric",42.209200,14.422602,180.000000,top
"R111","5.1k","R_0402_1005Metric",37.223700,13.217402,0.000000,top
"R112","22","R_0402_1005Metric",44.411599,11.628600,0.000000,top
"R113","22","R_0402_1005Metric",44.411599,12.593800,0.000000,top
"R114","680","R_0402_1005Metric",57.708800,22.758400,-90.000000,top
"R115","680","R_0402_1005Metric",58.724800,22.758400,-90.000000,top
"R116","0","R_0402_1005Metric",39.573200,7.566598,-90.000000,top
"R117","10k","R_0402_1005Metric",40.792400,9.700198,0.000000,top
"R118","10k","R_0402_1005Metric",38.894801,9.706999,180.000000,top
"SW101","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",71.884800,16.052800,0.000000,top
"SW102","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",71.882000,8.885400,180.000000,top
"U101","ESP32-C3-WROOM-02U","ESP32-C3-WROOM-02U",60.380400,10.625000,-90.000000,top
"U102","AMS1117-3.3","SOT-223-3_TabPin2",49.364899,16.200600,90.000000,top
"U103","USBLC6-2P6","SOT-666",39.573200,13.217403,-90.000000,top
"U104","TPS2116DRL","SOT-583-8",41.440800,7.798598,-90.000000,top
