Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C105, C106",0402,3,100n,C1525
C102,0402,1,10u,C15525
"C103, C110",0603,2,100n,C14663
"C104, C111",CP_EIA-3216-18_Kemet-A,2,10u,C7171
C107,0402,1,1u,C52923
"D101, D102",Texas_DPY0002A_0.6x1mm_P0.65mm,2,TPD1E05U06,C436349
D103,0805,1,Red,C84256
D104,0805,1,Green,C2297
"D105, D106",D_SOD-123F,2,SMF5.0A,C19077497
J101,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,C41376037
J102,PinHeader_2x09_P2.54mm_Horizontal,1,Conn_02x09_Odd_Even,C2894989
J103,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,C31597
J105,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
"K101, K102, K103, K104",SOP-4_3.8x4.1mm_P2.54mm,4,G3VM-61VY3,C2152318
"L101, L102",0603,2,Ferrite Bead,C14709
"R101, R102, R104, R106",0603,4,390,C23151
"R103, R108, R109, R117, R118",0402,5,10k,C25744
"R105, R107",0402,2,4.7k,C25900
"R110, R111",0402,2,5.1k,C25905
"R112, R113",0402,2,22,C25092
"R114, R115",0402,2,680,C25130
R116,0402,1,0,C17168
"SW101, SW102",SW_Push_1P1T_XKB_TS-1187A,2,TS-1187A-B-A-B,C318884
U101,ESP32-C3-WROOM-02U,1,ESP32-C3-WROOM-02U,C2926676
U102,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U103,SOT-666,1,USBLC6-2P6,C15999
U104,SOT-583-8,1,TPS2116DRL,C3235557
