Designator,Mid X,Mid Y,Rotation,Layer
C101,66.3956,21.400969,270.0,top
C102,67.3608,21.400969,90.0,top
C103,50.7492,11.0744,180.0,top
C104,47.447201,21.7518,0.0,top
C105,69.342,19.390267,0.0,top
C106,69.342,5.519933,0.0,top
C107,64.4652,21.400969,90.0,top
C110,51.562,21.9918,0.0,top
C111,50.241199,9.241,0.0,top
D101,41.9552,15.4386,180.0,top
D102,37.477699,14.233402,0.0,top
D103,56.134,22.3797,270.0,top
D104,60.2996,22.4028,270.0,top
D105,30.5816,19.2994,90.0,top
D106,33.9852,14.7828,0.0,top
J101,32.6644,4.2822,90.0,top
J102,17.4752,19.4306,90.0,top
J103,47.0916,3.2514,0.0,top
J105,39.5732,19.6384,180.0,top
K101,8.415867,8.424467,90.0,top
K102,14.1732,8.424467,90.0,top
K103,19.930534,8.424467,270.0,top
K104,25.687867,8.424467,270.0,top
L101,40.386,10.970198,0.0,top
L102,30.5816,15.337,270.0,top
R101,29.9212,10.0538,270.0,top
R102,31.3944,10.0538,270.0,top
R103,65.4304,21.400969,90.0,top
R104,20.658667,15.409467,180.0,top
R105,32.6136,9.495,270.0,top
R106,25.7048,15.409465,180.0,top
R107,33.5788,9.495,270.0,top
R108,69.342,4.531933,0.0,top
R109,58.2168,21.2852,180.0,top
R110,42.2092,14.422602,180.0,top
R111,37.2237,13.217402,0.0,top
R112,44.411599,11.6286,0.0,top
R113,44.411599,12.5938,0.0,top
R114,57.7088,22.7584,270.0,top
R115,58.7248,22.7584,270.0,top
R116,39.5732,7.566598,270.0,top
R117,40.7924,9.700198,0.0,top
R118,38.894801,9.706999,180.0,top
SW101,71.8848,16.0528,0.0,top
SW102,71.882,8.8854,180.0,top
U101,60.3804,10.625,270.0,top
U102,49.364899,16.2006,270.0,top
U103,39.5732,13.217403,270.0,top
U104,41.4408,7.798598,270.0,top
